regime,arm,dataset,method,lr0,seed,nmse_full,triggered,steps_survived,frac_survived,pre_mean_loss,pre_nmse,pre_median_loss,pre_max_loss,pre_max_excess,pre_n_spike,pre_worst_window
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,8,0.001874856848810814,0,12000,1.0,0.0009447072915604477,0.001874856848810814,0.00016536864859517664,0.3072463274002075,1857.947863819993,39,0.041296555241569874
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,9,0.0026100193656121468,0,12000,1.0,0.0013059949435744044,0.0026100193656121468,0.00014790360000915825,0.6586470603942871,4453.21858530491,120,0.033221300840377804
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,0,0.0027540383222293603,0,12000,1.0,0.0013914216489843488,0.0027540383222293607,0.00010270776692777872,2.1423234939575195,20858.437078706447,141,0.10192877964582295
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,1,0.001578655873514968,0,12000,1.0,0.0008000418814442909,0.001578655873514968,8.660191087983549e-05,1.0723751783370972,12382.811966182499,112,0.05388114934787154
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,2,0.002600049375204289,0,12000,1.0,0.0013119475614034213,0.002600049375204289,0.000239078130107373,0.2669205069541931,1116.4572302548784,218,0.045613011121749876
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,3,0.0009083068273900984,0,12000,1.0,0.0004572030205648298,0.0009083068273900985,0.00010597865912131965,0.3247661292552948,3064.4483705301177,86,0.028060540547594427
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,4,0.0014232343509988222,0,12000,1.0,0.0007205851007367391,0.0014232343509988222,0.00010401100007584319,0.4376736879348755,4207.955770214023,12,0.05547230341471732
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,5,0.001322246443611281,0,12000,1.0,0.0006662124906093741,0.001322246443611281,0.0001986890274565667,0.5806664228439331,2922.488625955283,24,0.03561436362331733
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,6,0.0013792360570737492,0,12000,1.0,0.0006929674125804668,0.0013792360570737492,0.00011715020082192495,0.2741891145706177,2340.492057605611,156,0.0418670240836218
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,7,0.0018573809105423354,0,12000,1.0,0.0009363709774229448,0.0018573809105423354,9.312013571616262e-05,0.6572656631469727,7058.254996001823,143,0.058774556084536016
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,8,0.0010941304221373876,0,12000,1.0,0.00055131301804022,0.0010941304221373876,9.70040782704018e-05,0.2988468110561371,3080.7654315635323,65,0.028481362406164407
E2-drift,lorenz_drift_cohg_nogate_lr0.03,lorenz,cohg_nogate,0.03,9,0.0010657352374624377,0,12000,1.0,0.0005332699249871487,0.0010657352374624377,0.00011812929005827755,0.14323410391807556,1212.5198064545455,110,0.01681422820314765
E2-drift,lorenz_drift_cohg_r0_lr0.03,lorenz,cohg_r0,0.03,0,0.005180092757153661,0,12000,1.0,0.0026171361334638545,0.005180092757153661,0.001248858985491097,2.1423234939575195,1715.4246547019716,36,0.08490839949809015
E2-drift,lorenz_drift_cohg_r0_lr0.03,lorenz,cohg_r0,0.03,1,0.006128936204570383,0,12000,1.0,0.0031060636675926123,0.006128936204570383,0.0012990671675652266,0.23819482326507568,183.3583583761198,32,0.07839162360876799
E2-drift,lorenz_drift_cohg_r0_lr0.03,lorenz,cohg_r0,0.03,2,0.004358925661811008,0,12000,1.0,0.002199451266921584,0.004358925661811008,0.0008417479693889618,0.2669205069541931,317.10264433183596,57,0.05817662909626961
