regime,arm,method,lr0,ewc0,seed,avg_acc,bwt,collapse,events_stored,n_nonfinite,losses_available,n_spike,max_excess,worst_window_mean,min_task_acc,max_forget,worst_running_avg_acc,final_task_acc,gate_open_frac
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,2,0.38030001521110535,-0.08211112353536817,0,0,0,0,NA,NA,NA,0.21900001168251038,0.18900001049041748,0.32600000500679016,0.534000039100647,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,3,0.39040001630783083,-0.051777780055999756,0,0,0,0,NA,NA,NA,0.2150000035762787,0.21100002527236938,0.289000004529953,0.5040000081062317,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,4,0.35800001472234727,-0.08988889223999447,0,0,0,0,NA,NA,NA,0.19700001180171967,0.1420000046491623,0.3317500129342079,0.5860000252723694,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,5,0.401700022816658,-0.07155555486679077,0,0,0,0,NA,NA,NA,0.281000018119812,0.15799999237060547,0.3160000145435333,0.6100000143051147,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,6,0.3919000208377838,-0.03777778148651123,0,0,0,0,NA,NA,NA,0.26500001549720764,0.1550000011920929,0.3227500170469284,0.48100003600120544,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,7,0.3988000154495239,-0.06600001123216417,0,0,0,0,NA,NA,NA,0.16200000047683716,0.14500001072883606,0.2940000221133232,0.4820000231266022,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,8,0.3608000159263611,-0.09499999715222253,0,0,0,0,NA,NA,NA,0.15200001001358032,0.13600000739097595,0.23500000685453415,0.5760000348091125,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,9,0.3793000131845474,-0.056666678852505155,0,0,0,0,NA,NA,NA,0.2800000011920929,0.09600001573562622,0.31300002336502075,0.47700002789497375,0.0006578947368421052
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,0,0.34840001314878466,-0.11944444808695051,0,0,0,0,NA,NA,NA,0.23400001227855682,0.14499998092651367,0.345666680071089,0.4700000286102295,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,1,0.40780001431703566,-0.05888889729976654,0,0,0,0,NA,NA,NA,0.17900000512599945,0.1300000250339508,0.2710000276565552,0.5640000104904175,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,2,0.3909000188112259,-0.09744445482889812,0,0,0,0,NA,NA,NA,0.25699999928474426,0.18200001120567322,0.36000001430511475,0.5100000500679016,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,3,0.40090001821517945,-0.043777777089012995,0,0,0,0,NA,NA,NA,0.2240000069141388,0.1499999761581421,0.31700000166893005,0.484000027179718,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,4,0.36690001338720324,-0.10366667475965288,0,0,0,0,NA,NA,NA,0.2410000115633011,0.1940000206232071,0.35612501576542854,0.5870000123977661,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,5,0.4014000207185745,-0.07944444153043959,0,0,0,0,NA,NA,NA,0.2590000033378601,0.14500001072883606,0.3165000155568123,0.6000000238418579,
E3,cifar100_fixed_lr0.02_ewc10,fixed,0.02,10,6,0.4201000213623047,-0.012333330180909898,0,0,0,0,NA,NA,NA,0.34300002455711365,0.11300000548362732,0.3540000170469284,0.4970000088214874,
